time,liquid_volume,tank_volume,original_gravity,flowrate,original_brix,brix
2021-10-25 04:56:13.243,56.0,100.0,1.02047032,0.16162938,5.2,
2021-10-25 04:56:13.444,,,,,,5.1
2021-10-25 04:56:13.452,,,,,,5.1
2021-10-25 04:56:13.455,,,,,,
2021-10-25 04:56:15.163,,,,,,5.1
2021-10-25 04:56:15.171,,,,,,5.1
2021-10-25 04:56:15.173,,,,,,
2021-10-25 04:56:16.923,,,,,,5.1
2021-10-25 04:56:16.932,,,,,,5.1
2021-10-25 04:56:16.957,,,,,,
2021-10-25 04:56:18.683,,,,,,5.1
2021-10-25 04:56:18.692,,,,,,5.1
2021-10-25 04:56:18.694,,,,,,
2021-10-25 04:56:20.524,,,,,,5.1
2021-10-25 04:56:20.533,,,,,,5.1
2021-10-25 04:56:20.540,,,,,,
2021-10-25 04:56:22.264,,,,,,5.1
2021-10-25 04:56:22.273,,,,,,5.1
2021-10-25 04:56:22.497,,,,,,
2021-10-25 04:56:24.005,,,,,,5.1
2021-10-25 04:56:24.013,,,,,,5.1
2021-10-25 04:56:24.022,,,,,,
2021-10-25 04:56:25.763,,,,,,5.1
2021-10-25 04:56:25.771,,,,,,5.1
2021-10-25 04:56:25.773,,,,,,
2021-10-25 04:56:27.492,56.0,100.0,1.02047032,0.15658563,5.2,
2021-10-25 04:56:27.524,,,,,,5.1
2021-10-25 04:56:27.532,,,,,,5.1
2021-10-25 04:56:27.535,,,,,,
2021-10-25 04:56:29.124,,,,,,5.1
2021-10-25 04:56:29.133,,,,,,5.1
2021-10-25 04:56:29.135,,,,,,
2021-10-25 04:56:30.853,,,,,,5.1
2021-10-25 04:56:30.861,,,,,,5.1
2021-10-25 04:56:30.904,,,,,,
2021-10-25 04:56:32.624,,,,,,5.1
2021-10-25 04:56:32.632,,,,,,5.1
2021-10-25 04:56:32.634,,,,,,
2021-10-25 04:56:34.363,,,,,,5.1
2021-10-25 04:56:34.371,,,,,,5.1
2021-10-25 04:56:34.373,,,,,,
2021-10-25 04:56:36.163,,,,,,5.1
2021-10-25 04:56:36.172,,,,,,5.1
2021-10-25 04:56:36.174,,,,,,
2021-10-25 04:56:37.931,,,,,,5.1
2021-10-25 04:56:37.939,,,,,,5.1
2021-10-25 04:56:37.940,,,,,,5.1
2021-10-25 04:56:37.942,,,,,,
